"date","hosp","vent","mort"
2020-07-07,1,"",""
2020-07-08,1,"",""
2020-07-09,2,"",""
2020-07-10,2,"",""
2020-07-11,2,"",""
2020-07-12,3,"",""
2020-07-13,3,"",""
2020-07-14,4,"",""
2020-07-15,5,"",""
2020-07-16,5,"",""
2020-07-17,5,"",""
2020-07-18,6,"",""
2020-07-19,6,"",""
2020-07-20,8,"",""
2020-07-21,8,"",""
2020-07-22,9,"",""
2020-07-23,10,"",""
2020-07-24,7,"",""
2020-07-25,7,"",""
2020-07-26,9,"",""
2020-07-27,9,"",""
2020-07-28,10,"",""
2020-07-29,11,"",""
2020-07-30,12,"",""
2020-07-31,13,"",""
2020-08-01,13,"",""
2020-08-02,13,"",""
2020-08-03,12,"",""
2020-08-04,11,"",""
2020-08-05,12,"",""
2020-08-06,10,"",""
2020-08-07,10,"",""
2020-08-08,11,"",""
2020-08-09,13,"",""
2020-08-10,13,"",""
2020-08-11,13,"",""
2020-08-12,11,"",""
2020-08-13,10,"",""
2020-08-14,11,"",""
2020-08-15,12,"",""
2020-08-16,12,"",""
2020-08-17,11,"",""
2020-08-18,8,"",""
2020-08-19,8,"",""
2020-08-20,7,"",""
2020-08-21,7,"",""
2020-08-22,8,"",""
2020-08-23,8,"",""
2020-08-24,9,"",""
2020-08-25,12,"",""
2020-08-26,12,"",""
2020-08-27,10,"",""
2020-08-28,10,"",""
2020-08-29,10,"",""
2020-08-30,11,"",""
2020-08-31,12,"",""
2020-09-01,12,"",""
2020-09-02,10,"",""
2020-09-03,8,"",""
2020-09-04,11,"",""
2020-09-05,13,"",""
2020-09-06,14,"",""
2020-09-07,12,"",""
2020-09-08,14,"",""
2020-09-09,13,"",""
2020-09-10,14,"",""
2020-09-11,12,"",""
2020-09-12,12,"",""
2020-09-13,11,"",""
2020-09-14,11,"",""
2020-09-15,12,"",""
2020-09-16,12,"",""
2020-09-17,12,"",""
2020-09-18,12,"",""
2020-09-19,11,"",""
2020-09-20,12,"",""
2020-09-21,13,"",""
2020-09-22,16,"",""
2020-09-23,17,"",""
2020-09-24,19,"",""
2020-09-25,21,"",""
2020-09-26,22,"",""
2020-09-27,23,"",""
2020-09-28,28,"",""
2020-09-29,28,"",""
2020-09-30,31,"",""
2020-10-01,30,"",""
2020-10-02,30,"",""
2020-10-03,32,"",""
2020-10-04,33,"",""
2020-10-05,34,"",""
2020-10-06,35,"",""
2020-10-07,37,"",""
2020-10-08,37,"",""
2020-10-09,38,"",""
2020-10-10,44,"",""
2020-10-11,47,"",""
2020-10-12,46,"",""
2020-10-13,45,"",""
2020-10-14,45,"",""
2020-10-15,49,"",""
2020-10-16,47,"",""
2020-10-17,50,"",""
2020-10-18,48,"",""
2020-10-19,47,"",""
2020-10-20,46,"",""
2020-10-21,45,"",""
2020-10-22,45,"",""
2020-10-23,40,"",""
2020-10-24,40,"",""
2020-10-25,42,"",""
2020-10-26,43,"",""
2020-10-27,37,"",""
2020-10-28,35,"",""
2020-10-29,43,"",""
2020-10-30,46,"",""
2020-10-31,45,"",""
2020-11-01,44,"",""
2020-11-02,49,"",""
2020-11-03,49,"",""
2020-11-04,45,"",""
2020-11-05,49,"",""
2020-11-06,50,"",""
2020-11-07,50,"",""
2020-11-08,51,"",""
2020-11-09,50,"",""
2020-11-10,50,"",""
2020-11-11,49,"",""
2020-11-12,45,"",""
2020-11-13,38,"",""
2020-11-14,39,"",""
2020-11-15,37,"",""
2020-11-16,35,"",""
2020-11-17,34,"",""
2020-11-18,34,"",""
2020-11-19,32,"",""
2020-11-20,32,"",""
2020-11-21,34,"",""
2020-11-22,34,"",""
2020-11-23,29,"",""
2020-11-24,26,"",""
2020-11-25,26,"",""
2020-11-26,26,"",""
2020-11-27,27,"",""
2020-11-28,28,"",""
2020-11-29,30,"",""
2020-11-30,26,"",""
2020-12-01,29,"",""
2020-12-02,33,"",""
2020-12-03,33,"",""
2020-12-04,33,"",""
2020-12-05,33,"",""
2020-12-06,33,"",""
2020-12-07,33,"",""
2020-12-08,30,"",""
2020-12-09,26,"",""
2020-12-10,26,"",""
